neighborhood,price,city
Stuyvesant Town,"$4,500 ",roomi nyc
Stuyvesant Town,"$1,100 ",roomi nyc
Stuyvesant Town,"$1,000 ",roomi nyc
Stuyvesant Town,$800 ,roomi nyc
Stuyvesant Town,$920 ,roomi nyc
Stuyvesant Town,"$1,175 ",roomi nyc
Stuyvesant Town,$930 ,roomi nyc
Stuyvesant Town,$750 ,roomi nyc
Stuyvesant Town,"$1,100 ",roomi nyc
Sunnyside,"$1,200 ",roomi nyc
Sunnyside,"$1,150 ",roomi nyc
Sunset Park,"$1,600 ",roomi nyc
Sunset Park,"$1,200 ",roomi nyc
Sunset Park,"$1,665 ",roomi nyc
The Waterfront,"$1,250 ",roomi nyc
Tribeca,"$1,300 ",roomi nyc
Tribeca,"$1,700 ",roomi nyc
Upper East Side,"$1,200 ",roomi nyc
Union City,"$1,250 ",roomi nyc
Upper East Side,$875 ,roomi nyc
Upper East Side,"$1,650 ",roomi nyc
Upper East Side,"$1,760 ",roomi nyc
Upper East Side,"$1,050 ",roomi nyc
Upper East Side,"$1,250 ",roomi nyc
Upper East Side,"$1,250 ",roomi nyc
Upper East Side,"$1,500 ",roomi nyc
Upper East Side,"$1,425 ",roomi nyc
Upper East Side,"$1,000 ",roomi nyc
Upper East Side,"$1,010 ",roomi nyc
Upper East Side,"$1,100 ",roomi nyc
Upper East Side,"$1,350 ",roomi nyc
Upper East Side,$785 ,roomi nyc
Upper East Side,"$1,400 ",roomi nyc
Upper East Side,"$1,200 ",roomi nyc
Upper East Side,"$1,158 ",roomi nyc
Upper East Side,"$1,030 ",roomi nyc
Upper East Side,$975 ,roomi nyc
Upper East Side,"$1,380 ",roomi nyc
Upper Manhattan,"$1,200 ",roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,"$1,450 ",roomi nyc
Upper Manhattan,"$1,400 ",roomi nyc
Upper Manhattan,"$1,050 ",roomi nyc
Upper Manhattan,$825 ,roomi nyc
Upper Manhattan,"$1,050 ",roomi nyc
Upper Manhattan,$875 ,roomi nyc
Upper Manhattan,"$1,642 ",roomi nyc
Upper Manhattan,"$1,300 ",roomi nyc
Upper Manhattan,"$1,775 ",roomi nyc
Upper Manhattan,"$2,700 ",roomi nyc
Upper Manhattan,"$1,150 ",roomi nyc
Upper Manhattan,$895 ,roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,"$1,300 ",roomi nyc
Upper Manhattan,$950 ,roomi nyc
Upper Manhattan,"$1,100 ",roomi nyc
Upper Manhattan,"$1,300 ",roomi nyc
Upper Manhattan,"$1,275 ",roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,$700 ,roomi nyc
Upper Manhattan,"$3,990 ",roomi nyc
Upper Manhattan,"$1,375 ",roomi nyc
Upper Manhattan,"$1,375 ",roomi nyc
Upper Manhattan,$856 ,roomi nyc
Upper Manhattan,"$1,175 ",roomi nyc
Upper Manhattan,"$1,750 ",roomi nyc
Upper Manhattan,"$2,000 ",roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,"$1,150 ",roomi nyc
Upper Manhattan,"$1,750 ",roomi nyc
Upper Manhattan,"$2,100 ",roomi nyc
Upper Manhattan,"$1,300 ",roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,"$1,300 ",roomi nyc
Upper Manhattan,$775 ,roomi nyc
Upper Manhattan,"$1,300 ",roomi nyc
Upper Manhattan,"$1,400 ",roomi nyc
Upper Manhattan,"$1,150 ",roomi nyc
Upper Manhattan,"$1,350 ",roomi nyc
Upper Manhattan,$816 ,roomi nyc
Upper Manhattan,$700 ,roomi nyc
Upper Manhattan,$950 ,roomi nyc
Upper Manhattan,"$2,000 ",roomi nyc
Upper Manhattan,"$1,500 ",roomi nyc
Upper Manhattan,"$1,400 ",roomi nyc
Upper Manhattan,"$1,200 ",roomi nyc
Upper Manhattan,$900 ,roomi nyc
Upper Manhattan,"$1,375 ",roomi nyc
Upper Manhattan,"$1,250 ",roomi nyc
Upper Manhattan,"$1,100 ",roomi nyc
Upper Manhattan,$900 ,roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,$850 ,roomi nyc
Upper Manhattan,"$1,000 ",roomi nyc
Upper Manhattan,"$1,500 ",roomi nyc
Upper Manhattan,$900 ,roomi nyc
Upper Manhattan,$725 ,roomi nyc
Upper Manhattan,"$1,720 ",roomi nyc
Upper Manhattan,"$1,400 ",roomi nyc
Upper Manhattan,"$1,510 ",roomi nyc
Upper Manhattan,$850 ,roomi nyc
Upper Manhattan,"$1,375 ",roomi nyc
Upper Manhattan,"$2,200 ",roomi nyc
Upper Manhattan,"$1,190 ",roomi nyc
Upper Manhattan,"$1,800 ",roomi nyc
Upper Manhattan,"$1,025 ",roomi nyc
Upper Manhattan,"$1,425 ",roomi nyc
Upper Manhattan,"$1,350 ",roomi nyc
Upper Manhattan,$907 ,roomi nyc
Upper Manhattan,$700 ,roomi nyc
