neighborhood,price,city
Lower Manhattan,"$1,800",roomi nyc
Williamsburg,"$1,100",roomi nyc
NoHo,"$1,340",roomi nyc
Crown Heights,"$1,950",roomi nyc
Bedford-Stuyvesant,"$1,499",roomi nyc
Bedford-Stuyvesant,$900,roomi nyc
Park Slope,"$1,300",roomi nyc
Constable Hook,"$1,000",roomi nyc
Bedford-Stuyvesant,"$1,825",roomi nyc
Upper West Side,"$1,275",roomi nyc
Bedford-Stuyvesant,"$1,250",roomi nyc
StuyTown,$800,roomi nyc
Midtown,"$1,150",roomi nyc
Flushing,"$2,400",roomi nyc
Yorkville,"$1,300",roomi nyc
Crown Heights,"$1,400",roomi nyc
Greenpoint,"$1,620",roomi nyc
Glen Oaks,$850,roomi nyc
Flatbush - Ditmas Park,"$1,100",roomi nyc
Park Slope,"$1,150",roomi nyc
Upper West Side,$900,roomi nyc
Upper Manhattan,"$1,300",roomi nyc
Williamsburg,"$1,375",roomi nyc
Flushing,"$1,300",roomi nyc
Williamsburg,"$1,700",roomi nyc
Crown Heights,"$1,850",roomi nyc
Woodside,"$1,100",roomi nyc
Williamsburg,"$1,250",roomi nyc
Jamaica,"$1,490",roomi nyc
StuyTown,"$1,300",roomi nyc
Upper Manhattan,"$1,275",roomi nyc
Jamaica,$950,roomi nyc
Prospect Lefferts Gardens,"$1,150",roomi nyc
Midtown,$610,roomi nyc
Hamilton Heights,"$1,300",roomi nyc
Gowanus,"$1,175",roomi nyc
Fleetwood - Concourse Village,"$1,000",roomi nyc
Prospect Heights,$750,roomi nyc
East Williamsburg,"$1,600",roomi nyc
Bedford-Stuyvesant,$950,roomi nyc
Midwood,"$1,100",roomi nyc
Port Morris,"$1,500",roomi nyc
Upper West Side,$400,roomi nyc
Lower Manhattan,"$1,750",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Williamsburg,$900,roomi nyc
Upper Manhattan,$700,roomi nyc
Flatbush - Ditmas Park,"$1,500",roomi nyc
Midtown East,"$1,400",roomi nyc
Ridgewood,$966,roomi nyc
Upper West Side,"$1,335",roomi nyc
Gramercy Park,$775,roomi nyc
Midtown,"$1,379",roomi nyc
Lower Manhattan,"$1,200",roomi nyc
Crown Heights,"$1,400",roomi nyc
Long Island City,$950,roomi nyc
Ridgewood,"$1,700",roomi nyc
Crown Heights,"$1,000",roomi nyc
